trial,pair,reference,estimate,kind,component,unit,n,mean_diff,mae,rmse,corr
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,position,progression,m,153,-0.001407878850281492,0.006899595359541476,0.008783484219589601,0.9998022777929082
S18_CurvWalkClock_1,OpenCap vs Marker-based,Marker-based,OpenCap,position,progression,m,153,0.029116537245564372,0.029116537245564372,0.03336723576901622,0.9999749047436242
S18_CurvWalkClock_1,FootMR vs OpenCap,OpenCap,FootMR,position,progression,m,153,-0.03052441609584586,0.03063085496384153,0.03618256218166609,0.9998423776165671
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,position,vertical,m,153,-0.0031907239527805956,0.007665358837135279,0.009934919069003635,0.67690560320854
S18_CurvWalkClock_1,OpenCap vs Marker-based,Marker-based,OpenCap,position,vertical,m,153,0.0037107343688522966,0.005782140962582231,0.007520416736183037,0.7535996468778048
S18_CurvWalkClock_1,FootMR vs OpenCap,OpenCap,FootMR,position,vertical,m,153,-0.006901458321632892,0.011254226410410397,0.013807057102865868,0.44454228018380976
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,position,lateral,m,153,0.007219467776993505,0.009706849065898405,0.011908872707435472,0.9856242431458156
S18_CurvWalkClock_1,OpenCap vs Marker-based,Marker-based,OpenCap,position,lateral,m,153,0.0001506617859433275,0.0016622094096071178,0.0021148058425889764,0.9991421085453581
S18_CurvWalkClock_1,FootMR vs OpenCap,OpenCap,FootMR,position,lateral,m,153,0.007068805991050179,0.00927526809879208,0.011209589541415738,0.9892187783385356
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,velocity,progression,m/s,153,0.007624996488864464,0.11401514550693831,0.1435317970853766,0.49216655062457
S18_CurvWalkClock_1,OpenCap vs Marker-based,Marker-based,OpenCap,velocity,progression,m/s,153,0.03484785497979882,0.07106065974492172,0.08929527621529516,0.7163138288845525
S18_CurvWalkClock_1,FootMR vs OpenCap,OpenCap,FootMR,velocity,progression,m/s,153,-0.027222858490934358,0.1160175776481148,0.14676210281871682,0.5166868473361292
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,velocity,vertical,m/s,153,0.003338043252521153,0.09743662233845979,0.13677683663637744,0.6338893432670477
S18_CurvWalkClock_1,OpenCap vs Marker-based,Marker-based,OpenCap,velocity,vertical,m/s,153,-0.002672304094506143,0.10006149893956039,0.12388424076296271,0.5466622347639836
S18_CurvWalkClock_1,FootMR vs OpenCap,OpenCap,FootMR,velocity,vertical,m/s,153,0.006010347347027295,0.14441478553957698,0.18753690528144742,0.32980828858507283
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,velocity,lateral,m/s,153,-0.0007564955594574921,0.07726984083337489,0.09180104397767969,0.9303441978552824
S18_CurvWalkClock_1,OpenCap vs Marker-based,Marker-based,OpenCap,velocity,lateral,m/s,153,1.5189525543110901e-05,0.03442794578915473,0.044302035498182624,0.9839180016230573
S18_CurvWalkClock_1,FootMR vs OpenCap,OpenCap,FootMR,velocity,lateral,m/s,153,-0.0007716850850006073,0.07671435603620883,0.09222391865192447,0.9304758643210241
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,acceleration,progression,m/s²,153,0.0941173405511874,2.180377081473131,2.8192991346947065,0.11119490173626839
S18_CurvWalkClock_1,OpenCap vs Marker-based,Marker-based,OpenCap,acceleration,progression,m/s²,153,-0.15983233287117699,2.0571960732110464,2.646097628448761,0.3060095226327887
S18_CurvWalkClock_1,FootMR vs OpenCap,OpenCap,FootMR,acceleration,progression,m/s²,153,0.2539496734223644,2.46915228621635,3.0555728703750398,0.39804764094071066
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,acceleration,vertical,m/s²,153,0.021242984804911165,1.7686673420635954,2.913583267771572,0.4273190019600397
S18_CurvWalkClock_1,OpenCap vs Marker-based,Marker-based,OpenCap,acceleration,vertical,m/s²,153,-0.11775450171175496,3.208256708741975,3.792908373995781,0.289311947974123
S18_CurvWalkClock_1,FootMR vs OpenCap,OpenCap,FootMR,acceleration,vertical,m/s²,153,0.1389974865166661,3.7157256304105304,4.564663940819882,0.20473792917402045
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,acceleration,lateral,m/s²,153,0.024737339884622775,1.5892425045779692,1.930156732231847,-0.003437562047726938
S18_CurvWalkClock_1,OpenCap vs Marker-based,Marker-based,OpenCap,acceleration,lateral,m/s²,153,0.0017410302836385343,1.1036816224299453,1.4202139434364374,0.08760113748713433
S18_CurvWalkClock_1,FootMR vs OpenCap,OpenCap,FootMR,acceleration,lateral,m/s²,153,0.02299630960098425,1.7412052685949229,2.157560665907446,0.16389320417205572
S18_CurvWalkCounter_1,FootMR vs Marker-based,Marker-based,FootMR,position,progression,m,143,0.01104265064044574,0.015238327522414526,0.01810136191247689,0.9994306574795427
S18_CurvWalkCounter_1,OpenCap vs Marker-based,Marker-based,OpenCap,position,progression,m,143,0.04630608730246594,0.04630608730246594,0.05093941419170691,0.9999557758281904
