trial,pair,reference,estimate,joint,joint_label,unit,n,mean_diff,mae,rmse,corr
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,hip_flexion_r,Hip flexion R,deg,153,9.459129863434374,10.096898040096985,12.474043671000233,0.9391964524658988
S18_CurvWalkClock_1,OpenCap vs Marker-based,Marker-based,OpenCap,hip_flexion_r,Hip flexion R,deg,153,9.449809729211061,9.449809729211061,9.798321090667992,0.9905677253082052
S18_CurvWalkClock_1,FootMR vs OpenCap,OpenCap,FootMR,hip_flexion_r,Hip flexion R,deg,153,0.009320134223311889,5.9646651062754135,7.347357907099279,0.9415497532911956
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,knee_angle_r,Knee flexion R,deg,153,-11.256927370572498,11.256927370572498,13.808689000566963,0.9193222890264057
S18_CurvWalkClock_1,OpenCap vs Marker-based,Marker-based,OpenCap,knee_angle_r,Knee flexion R,deg,153,-6.404236956512457,6.404236956512457,6.901107873472649,0.9920199833418808
S18_CurvWalkClock_1,FootMR vs OpenCap,OpenCap,FootMR,knee_angle_r,Knee flexion R,deg,153,-4.852690414060043,6.229564332479199,8.25204704801458,0.9450073365815264
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,ankle_angle_r,Ankle flexion R,deg,153,0.4093446681245576,6.226993973480656,7.838041461121109,0.8686973197194273
S18_CurvWalkClock_1,OpenCap vs Marker-based,Marker-based,OpenCap,ankle_angle_r,Ankle flexion R,deg,153,-3.4167098805840164,5.71651657006666,6.876521762863722,0.870942196170341
S18_CurvWalkClock_1,FootMR vs OpenCap,OpenCap,FootMR,ankle_angle_r,Ankle flexion R,deg,153,3.8260545487085746,5.196470310503292,5.886113540775373,0.9447136632165624
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,hip_flexion_l,Hip flexion L,deg,153,16.2560237205866,16.2560237205866,17.027594859886257,0.950449130725984
S18_CurvWalkClock_1,OpenCap vs Marker-based,Marker-based,OpenCap,hip_flexion_l,Hip flexion L,deg,153,11.89818788410585,11.89818788410585,12.123562804465209,0.9912796658965792
S18_CurvWalkClock_1,FootMR vs OpenCap,OpenCap,FootMR,hip_flexion_l,Hip flexion L,deg,153,4.357835836480751,4.736644875407148,5.5747620562713305,0.9764345284282933
S18_CurvWalkClock_1,FootMR vs Marker-based,Marker-based,FootMR,knee_angle_l,Knee flexion L,deg,153,-1.5440221110730072,5.729937792745602,7.718311580078482,0.9395508717302029
